file_year,horizon_years,file_role,column_position,raw_column_name,normalized_column_name,name_changed
2019,2,longitudinal_weights,1,panel,SPANEL,True
2019,2,longitudinal_weights,2,ssuid,SSUID,True
2019,2,longitudinal_weights,3,pnum,PNUM,True
2019,2,longitudinal_weights,4,finyr2,FINYR2,True
2019,2,longitudinal_replicate_weights,1,ssuid,SSUID,True
2019,2,longitudinal_replicate_weights,2,PNUM,PNUM,False
2019,2,longitudinal_replicate_weights,3,Panel,SPANEL,True
2019,2,longitudinal_replicate_weights,4,CTL_DATE,CTL_DATE,False
2019,2,longitudinal_replicate_weights,5,LGTWTTYP,LGTWTTYP,False
2019,2,longitudinal_replicate_weights,6,initial_year,INITIAL_YEAR,True
2019,2,longitudinal_replicate_weights,7,final_year,FINAL_YEAR,True
2019,2,longitudinal_replicate_weights,8,repwgt0,REPWGT0,True
2019,2,longitudinal_replicate_weights,9,repwgt1,REPWGT1,True
2019,2,longitudinal_replicate_weights,10,repwgt2,REPWGT2,True
2019,2,longitudinal_replicate_weights,11,repwgt3,REPWGT3,True
2019,2,longitudinal_replicate_weights,12,repwgt4,REPWGT4,True
2019,2,longitudinal_replicate_weights,13,repwgt5,REPWGT5,True
2019,2,longitudinal_replicate_weights,14,repwgt6,REPWGT6,True
2019,2,longitudinal_replicate_weights,15,repwgt7,REPWGT7,True
2019,2,longitudinal_replicate_weights,16,repwgt8,REPWGT8,True
2019,2,longitudinal_replicate_weights,17,repwgt9,REPWGT9,True
2019,2,longitudinal_replicate_weights,18,repwgt10,REPWGT10,True
2019,2,longitudinal_replicate_weights,19,repwgt11,REPWGT11,True
2019,2,longitudinal_replicate_weights,20,repwgt12,REPWGT12,True
2019,2,longitudinal_replicate_weights,21,repwgt13,REPWGT13,True
2019,2,longitudinal_replicate_weights,22,repwgt14,REPWGT14,True
2019,2,longitudinal_replicate_weights,23,repwgt15,REPWGT15,True
2019,2,longitudinal_replicate_weights,24,repwgt16,REPWGT16,True
2019,2,longitudinal_replicate_weights,25,repwgt17,REPWGT17,True
2019,2,longitudinal_replicate_weights,26,repwgt18,REPWGT18,True
2019,2,longitudinal_replicate_weights,27,repwgt19,REPWGT19,True
2019,2,longitudinal_replicate_weights,28,repwgt20,REPWGT20,True
2019,2,longitudinal_replicate_weights,29,repwgt21,REPWGT21,True
2019,2,longitudinal_replicate_weights,30,repwgt22,REPWGT22,True
2019,2,longitudinal_replicate_weights,31,repwgt23,REPWGT23,True
2019,2,longitudinal_replicate_weights,32,repwgt24,REPWGT24,True
2019,2,longitudinal_replicate_weights,33,repwgt25,REPWGT25,True
2019,2,longitudinal_replicate_weights,34,repwgt26,REPWGT26,True
2019,2,longitudinal_replicate_weights,35,repwgt27,REPWGT27,True
2019,2,longitudinal_replicate_weights,36,repwgt28,REPWGT28,True
2019,2,longitudinal_replicate_weights,37,repwgt29,REPWGT29,True
2019,2,longitudinal_replicate_weights,38,repwgt30,REPWGT30,True
2019,2,longitudinal_replicate_weights,39,repwgt31,REPWGT31,True
2019,2,longitudinal_replicate_weights,40,repwgt32,REPWGT32,True
2019,2,longitudinal_replicate_weights,41,repwgt33,REPWGT33,True
2019,2,longitudinal_replicate_weights,42,repwgt34,REPWGT34,True
