file_role,official_url,local_relative_path,bytes,sha256,zip_crc_valid,zip_entries,zip_uncompressed_bytes,release_version,release_date
primary,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/pu2025_csv.zip,temp\raw_downloads\census_sipp\2025\primary\pu2025_csv.zip,88088487,570798a6f512c8f82af311ee01a1668d178063c9076c18a05bc3a5a0039b67ed,True,pu2025.csv,2962995844,1.0,2026-07-15
replicate_weights,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/rw2025_csv.zip,temp\raw_downloads\census_sipp\2025\replicate_weights\rw2025_csv.zip,535845832,3bf35c17723de10697d581d1122fda4d7cdecb34c6f9e9dfcb18ddc561c7c6b6,True,rw2025.csv,1128818501,1.0,2026-07-15
longitudinal_weights_4y,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr4_csv.zip,temp\raw_downloads\census_sipp\2025\longitudinal_weights\lgtwgt2025yr4_csv.zip,63788,b0ccfccff85b7600ef3d1ce51f071053c61806206cbcf2543b6b99fa8b06f0f7,True,lgtwgt2025yr4.csv,225834,1.0,2026-07-15
longitudinal_weights_3y,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr3_csv.zip,temp\raw_downloads\census_sipp\2025\longitudinal_weights\lgtwgt2025yr3_csv.zip,115675,9e3940a5679e1b06e1225dfeda0cd3313db6da2be74d991ef23b630c471d9dc7,True,lgtwgt2025yr3.csv,395353,1.0,2026-07-15
longitudinal_weights_2y,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr2_csv.zip,temp\raw_downloads\census_sipp\2025\longitudinal_weights\lgtwgt2025yr2_csv.zip,196964,1d7c7f658aeecdb821c31509673c79a837f044c2d4228aac15eabb5996c373c2,True,lgtwgt2025yr2.csv,671620,1.0,2026-07-15
longitudinal_replicate_weights_4y,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtrw2025yr4_csv.zip,temp\raw_downloads\census_sipp\2025\longitudinal_replicate_weights\lgtrw2025yr4_csv.zip,9007006,d251ad270f8574d546c41e23f21807c2e67b8329770680f5905c9de96e114936,True,lgtrw2025yr4.csv,19232203,1.0,2026-07-15
longitudinal_replicate_weights_3y,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtrw2025yr3_csv.zip,temp\raw_downloads\census_sipp\2025\longitudinal_replicate_weights\lgtrw2025yr3_csv.zip,15711442,e727180bbbf8e1d13d1adcbe1909943082a00543f468db02f9a649e9f3e83d22,True,lgtrw2025yr3.csv,33244571,1.0,2026-07-15
longitudinal_replicate_weights_2y,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtrw2025yr2_csv.zip,temp\raw_downloads\census_sipp\2025\longitudinal_replicate_weights\lgtrw2025yr2_csv.zip,26303318,8c5359a48b32e9b78ba2a4bf85c6dae2ca2461063ce7a1100e7f68e42ef8b785,True,lgtrw2025yr2.csv,55662389,1.0,2026-07-15
primary_schema,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/pu2025_schema.json,temp\source_metadata\census_sipp\2025\pu2025_schema.json,754138,6cdc23c537ba1431540e62994f0c05e05e62920e785384872bf5b7c23fe8c241,not_applicable,,,1.0,2026-07-15
primary_validation,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/pu2025_validate.xlsx,temp\source_metadata\census_sipp\2025\pu2025_validate.xlsx,269643,290e8c51b91390c961c0a7fbf74fa398c2b9cb8bc7c4f646beec1da7e882a5ac,not_applicable,,,1.0,2026-07-15
replicate_schema,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/rw2025_schema.json,temp\source_metadata\census_sipp\2025\rw2025_schema.json,22164,9a7c9ddfa1344f96a65425590a4efc34919a131a34b669f0fa89a075dd85c6e9,not_applicable,,,1.0,2026-07-15
replicate_validation,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/rw2025_validate.xlsx,temp\source_metadata\census_sipp\2025\rw2025_validate.xlsx,17907,e4997794713b2a291e5f2fd22498588873e3b80e20fb63c28b821bd746203bbe,not_applicable,,,1.0,2026-07-15
primary_dictionary,https://www2.census.gov/programs-surveys/sipp/tech-documentation/data-dictionaries/2025/2025_SIPP_Data_Dictionary.pdf,temp\source_metadata\census_sipp\2025\2025_SIPP_Data_Dictionary.pdf,3994347,571e53b4ec3ebb11bebddbb7190fc1084f5364b8a1ec5fbd7ca8e2f69e7cc752,not_applicable,,,1.0,2026-07-15
release_notes,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2025/2025_SIPP_Release_Notes.pdf,temp\source_metadata\census_sipp\2025\2025_SIPP_Release_Notes.pdf,229923,6cb2e033266ddc9b3a0a0b597253c2817069056359b00fd53107c0efdea0dee7,not_applicable,,,1.0,2026-07-15
instrument,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2025/2025_SIPP_PU_Instrument_Specifications.pdf,temp\source_metadata\census_sipp\2025\2025_SIPP_PU_Instrument_Specifications.pdf,3178023,27c193a25a42aff4e245b4cbed7dde01abb9bef0fef670e9f1284a7d184addfa,not_applicable,,,1.0,2026-07-15
variable_crosswalk,https://www2.census.gov/programs-surveys/sipp/tech-documentation/2025/SIPP_Variable_Name_Change_Summary_2014_2025.xlsx,temp\source_metadata\census_sipp\2025\SIPP_Variable_Name_Change_Summary_2014_2025.xlsx,24975,27eb709a856d3e73245b224f8ee00f2028200c7a3d19fdfcbec0698f79adad52,not_applicable,,,1.0,2026-07-15
replicate_dictionary,https://www2.census.gov/programs-surveys/sipp/tech-documentation/data-dictionaries/2025/rw2025_dictionary.txt,temp\source_metadata\census_sipp\2025\rw2025_dictionary.txt,1412,818e434ae1ac25b0be5b370826950ca46d2f538e38c49860a28e6cc25d2a8d60,not_applicable,,,1.0,2026-07-15
longitudinal_weight_dictionary,https://www2.census.gov/programs-surveys/sipp/tech-documentation/data-dictionaries/2025/lgtwgt2025_dictionary.txt,temp\source_metadata\census_sipp\2025\lgtwgt2025_dictionary.txt,1223,ddd6eaada51c2be6904ae5aacf8f41f83e8303a50c6c90f3a33a0661de8c1c95,not_applicable,,,1.0,2026-07-15
longitudinal_replicate_dictionary,https://www2.census.gov/programs-surveys/sipp/tech-documentation/data-dictionaries/2025/lgtrw2025_dictionary.txt,temp\source_metadata\census_sipp\2025\lgtrw2025_dictionary.txt,2016,28cff494e457124f7794199abbe9e3dc7f91f187c0c70cc47662830c740bcb87,not_applicable,,,1.0,2026-07-15
python_example,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/2025_sipp_python_input_example.py,temp\source_metadata\census_sipp\2025\2025_sipp_python_input_example.py,4857,43572909360d6cdb6906bfde67869943ad863c4ce4e82e9612c81a3ab1490026,not_applicable,,,1.0,2026-07-15
r_example,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/2025_sipp_r_input_example.R,temp\source_metadata\census_sipp\2025\2025_sipp_r_input_example.R,3293,a52006f2d1a2941ed41667dfb54e44da7a0ad1a7274cecd9beb651ba23d0dcda,not_applicable,,,1.0,2026-07-15
release_page,https://www.census.gov/programs-surveys/sipp/data/datasets/2025-data/2025.html,temp\web_snapshots\2025_sipp_data_page.html,397687,fc1b1ae5a1bddcabdeea99fe05ee8330ea63d00dd5cea9a20aedd9b954e133e8,not_applicable,,,1.0,2026-07-15
lgtwgt_4y_schema,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr4_schema.json,temp\source_metadata\census_sipp\2025\lgtwgt2025yr4_schema.json,349,29ec535da16c67d6240e584898cf9c4194d7636a04c04355c5cf0283bcdb8378,not_applicable,,,1.0,2026-07-15
lgtwgt_4y_validation,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr4_validate.xlsx,temp\source_metadata\census_sipp\2025\lgtwgt2025yr4_validate.xlsx,5928,e934728210cd31813561ecf9fb5a4fcc00d6178601302ca385627da62e958f2d,not_applicable,,,1.0,2026-07-15
lgtwgt_3y_schema,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr3_schema.json,temp\source_metadata\census_sipp\2025\lgtwgt2025yr3_schema.json,349,5ecd7693f933a6346a4f63e0c428fe5bf2b7fc89f726178251a9d5581bfb506f,not_applicable,,,1.0,2026-07-15
lgtwgt_3y_validation,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr3_validate.xlsx,temp\source_metadata\census_sipp\2025\lgtwgt2025yr3_validate.xlsx,5941,2799799e16cf1f31f80c636613e1f917e6ef3eadbd4b6d07b2ac5a6142edc6e0,not_applicable,,,1.0,2026-07-15
lgtwgt_2y_schema,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr2_schema.json,temp\source_metadata\census_sipp\2025\lgtwgt2025yr2_schema.json,349,5939299a50af27d43511ac8c880a4facd6d63b4d41e47cee3c1d7ab8805864e5,not_applicable,,,1.0,2026-07-15
lgtwgt_2y_validation,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtwgt2025yr2_validate.xlsx,temp\source_metadata\census_sipp\2025\lgtwgt2025yr2_validate.xlsx,5950,64d61441db892177ed48c2dda7569841154d46a6202060fdec904aa4ac76218a,not_applicable,,,1.0,2026-07-15
lgtrw_4y_schema,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtrw2025yr4_schema.json,temp\source_metadata\census_sipp\2025\lgtrw2025yr4_schema.json,22354,88a1b2e4118926aeda538942f439edb9f57c880954739b8695eaa30aebbcc875,not_applicable,,,1.0,2026-07-15
lgtrw_4y_validation,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtrw2025yr4_validate.xlsx,temp\source_metadata\census_sipp\2025\lgtrw2025yr4_validate.xlsx,17223,64ee651f9d3a81ebf8ce5cc2663a908619fcae5faffaeea1f037a0adcc4af8d1,not_applicable,,,1.0,2026-07-15
lgtrw_3y_schema,https://www2.census.gov/programs-surveys/sipp/data/datasets/2025/lgtrw2025yr3_schema.json,temp\source_metadata\census_sipp\2025\lgtrw2025yr3_schema.json,22354,88a1b2e4118926aeda538942f439edb9f57c880954739b8695eaa30aebbcc875,not_applicable,,,1.0,2026-07-15
