variable_name,years_present,n_years_present,label_description,universe_restrictions,record_level_inferred,code_list_or_range,recommended_construction_use,harmonization_safe_initial,recoding_needed_initial,missingness_visible_in_metadata
A2PENTYP,2021;2022;2023;2024,4,,,unknown,,,False,False,
AAF1,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAF2,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAF3,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAF4,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAF5,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAF6,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAF7,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAF8,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAF9,2018,1,,,unknown,,,False,False,
AAFEVER,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAFNOW,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAF_HHLD,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAGE,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAGE_FB,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AALIAMT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AALIANY,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AALIMNYN,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AALI_CFLG,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AALLTH,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAMBULAT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAMOUNTPAID,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AANNINC,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AANNVAL,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AANYKID,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AASTRECUSE,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAWBCRACK,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAWBGAS,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAWBHOLES,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAWBMORT,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAWBPESTS,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAWBPLUMB,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAWBRENT,2021;2022;2023,3,,,unknown,,,False,False,
AAWBSAFE,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAWBSTAY,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAWBTRAFF,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
AAWBTRASH,2018;2019;2020;2021;2022;2023;2024,7,,,unknown,,,True,False,
