outcome,term,estimate,std_error,p_value,n,events,status,horizon_months,model_family
medicaid_exit_it,temporary_cross_up_1m,0.018140572458052943,0.01161694715669736,0.11839142602161878,89079,212.0,estimated,0,weighted_lpm_discrete_time_hazard
medicaid_exit_it,temporary_cross_up_1m_x_phe,-0.013508130728502835,0.014835865067972125,0.3625561961442041,89079,212.0,estimated,0,weighted_lpm_discrete_time_hazard
medicaid_exit_it,temporary_cross_up_1m_x_unwinding,-0.020430995650393427,0.01160381683910079,0.07828692575780338,89079,212.0,estimated,0,weighted_lpm_discrete_time_hazard
exit_to_uninsured_it,temporary_cross_up_1m,0.020034613400592212,0.011766589513398448,0.08862993068562353,89079,99.0,estimated,0,weighted_lpm_discrete_time_hazard
exit_to_uninsured_it,temporary_cross_up_1m_x_phe,-0.012710139576442351,0.014996089694638233,0.3966810603346076,89079,99.0,estimated,0,weighted_lpm_discrete_time_hazard
exit_to_uninsured_it,temporary_cross_up_1m_x_unwinding,-0.02107860945974841,0.011731739424797836,0.0723806427292224,89079,99.0,estimated,0,weighted_lpm_discrete_time_hazard
exit_to_direct_purchase_exchange_it,temporary_cross_up_1m,-0.0005529816407511083,0.0002340192817843256,0.01812890747847984,89079,27.0,estimated,0,weighted_lpm_discrete_time_hazard
exit_to_direct_purchase_exchange_it,temporary_cross_up_1m_x_phe,8.340963948134711e-05,0.00030006419528953704,0.7810333539454404,89079,27.0,estimated,0,weighted_lpm_discrete_time_hazard
exit_to_direct_purchase_exchange_it,temporary_cross_up_1m_x_unwinding,6.806100480515542e-05,0.0004562608005766348,0.8814184865418457,89079,27.0,estimated,0,weighted_lpm_discrete_time_hazard
persistent_uninsured_2m,temporary_cross_up_1m,0.020027084150282447,0.011769306179474323,0.08882348020424224,89079,97.0,estimated,0,weighted_lpm_discrete_time_hazard
persistent_uninsured_2m,temporary_cross_up_1m_x_phe,-0.012642574607118082,0.014999250214165412,0.39929531444477706,89079,97.0,estimated,0,weighted_lpm_discrete_time_hazard
persistent_uninsured_2m,temporary_cross_up_1m_x_unwinding,-0.02111557616593906,0.01173457137591119,0.07195019735693098,89079,97.0,estimated,0,weighted_lpm_discrete_time_hazard
persistent_uninsured_3m,temporary_cross_up_1m,0.020076745582105118,0.01177482492668701,0.08818382721234452,89079,93.0,estimated,0,weighted_lpm_discrete_time_hazard
persistent_uninsured_3m,temporary_cross_up_1m_x_phe,-0.012640096566981833,0.01500449760516657,0.39955261504068806,89079,93.0,estimated,0,weighted_lpm_discrete_time_hazard
persistent_uninsured_3m,temporary_cross_up_1m_x_unwinding,-0.02114146409621765,0.011739896781020739,0.07173094424762105,89079,93.0,estimated,0,weighted_lpm_discrete_time_hazard
medicaid_exit_it_h1,temporary_cross_up_1m,0.011849390992723025,0.00979341951240218,0.22630422929830774,78244,123.0,estimated,1,weighted_lpm_discrete_time_hazard
medicaid_exit_it_h1,temporary_cross_up_1m_x_phe,-0.013856086255092031,0.00985134833457326,0.15957073998407156,78244,123.0,estimated,1,weighted_lpm_discrete_time_hazard
medicaid_exit_it_h1,temporary_cross_up_1m_x_unwinding,-0.013751629200752196,0.009796116502099052,0.1603832530530065,78244,123.0,estimated,1,weighted_lpm_discrete_time_hazard
exit_to_uninsured_it_h1,temporary_cross_up_1m,0.013179600466117722,0.00999328649466583,0.18722078469808623,78244,55.0,estimated,1,weighted_lpm_discrete_time_hazard
exit_to_uninsured_it_h1,temporary_cross_up_1m_x_phe,-0.013853369806735644,0.01002774186664173,0.16712391681778405,78244,55.0,estimated,1,weighted_lpm_discrete_time_hazard
exit_to_uninsured_it_h1,temporary_cross_up_1m_x_unwinding,-0.014368213504915526,0.009975305918481994,0.14976041876848423,78244,55.0,estimated,1,weighted_lpm_discrete_time_hazard
exit_to_direct_purchase_exchange_it_h1,temporary_cross_up_1m,-0.0002385821730056332,0.00013208846192597624,0.07088238475629072,78244,14.0,estimated,1,weighted_lpm_discrete_time_hazard
exit_to_direct_purchase_exchange_it_h1,temporary_cross_up_1m_x_phe,3.923580760122102e-05,0.00016475420772807698,0.8117666714951035,78244,14.0,estimated,1,weighted_lpm_discrete_time_hazard
