project,path,size_bytes,size_mb,read_status,sha256,error
ccbhc_expansion_capacity,ccbhc_expansion_capacity/data/analysis_facility_year.parquet,1838028,1.7529,ok,6f5dfe7cec54858643c27992d5ae159fcf3ebbe54399b3b2289f43ef60142ad5,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/data/analysis_main_county_year.parquet,174560,0.1665,ok,d025747ace572c2962dff31397530e598df91b2ab48f86235d961281dc547b26,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/data/analysis_main_state_year.parquet,103660,0.0989,ok,82e58002357ac5f78e6ff9120c0a1312c16164fc0697ed44f27888396d7254c4,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/data/ccbhc_treatment_panel.parquet,23228,0.0222,ok,608b8edbc2251acd3ea7aa50f351935627d329904ee750a4103b4a2994fc4684,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/data/county_capacity_panel.parquet,148611,0.1417,ok,7225204bae781ad09e3e3c0fb1cec331db03d2f71898dbb311963dc0cee034e4,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/data/county_policy_panel.parquet,84546,0.0806,ok,bb3ef7dab8a264a1149528d709601b0a8b5d02622a520aee52cb34c1a5d5d8d7,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/data/external_covariates_county.parquet,139568,0.1331,ok,9e9c0e52592e9ae801962e206b2cd3b66ddfa90c500713f7b7f16d95e156886a,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/data/facility_service_panel.parquet,1098421,1.0475,ok,21aa6440f9931447f26eb6761670700a7ee363939ecbbb5015d7d12c890721bd,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/data/facility_service_panel_audit.csv,157,0.0001,ok,b3bbf59961737fc1309970bc6b39af0222dd30288bf97ce59f50d57f352ad48b,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/data/service_category_state_year.parquet,33471,0.0319,ok,4409f4cfc5ac0ea9d33e6a56475a3388108ff698c7bdb9dead78335a39054fba,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/data/state_capacity_panel.parquet,81575,0.0778,ok,027bb807c595c9f160736b54a23ae1c2bbc1a55f7c3e0599a35d0b0f7cde5529,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/data/state_policy_panel.parquet,23228,0.0222,ok,608b8edbc2251acd3ea7aa50f351935627d329904ee750a4103b4a2994fc4684,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/Makefile,429,0.0004,ok,7a21b30f7fffc40a4f01bfc691248165f3202e91e9601ee458a0e9747af613fb,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/report/data_dictionary.md,1691,0.0016,ok,cb8bb21b44009a126c540360c4c5d5ed99ae2601a1eca0c402c73774e08d6054,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/report/final_report.md,5199,0.005,ok,fe34e4ee5fe1b9c4d520c9783864a423b74c97e5a468584ba5d15c7f8620a8a1,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/report/identification_audit.md,1702,0.0016,ok,837661846f5841b7aedc080ecfd543fddef243b596865bfcc7491ea3dd7827f0,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/report/mechanism_chain.md,1422,0.0014,ok,a41bdc429abdaf9342e9f3f0e6b274e6c36827846da8246e68cd8fb4d5a63143,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/report/policy_timeline.md,1141,0.0011,ok,200556630d23aad0b30db9a20ac11299b59e410758f7f9b66db9cbca6aae1cfc,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/report/README.md,753,0.0007,ok,a62beb9d0040901c375716943981109665cbdfd095f6007775e0c19884189ee6,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/report/treatment_construction_notes.md,1040,0.001,ok,d0f9dfd712b87642770c8c96d4215b804281f6b10bfe004caa7c2f06567a8e02,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/balance_table_control_strategies.csv,1029,0.001,ok,9e431411a8b07351ee4fdd78050d72d1be1ace35c944ea95db78ffcc4df8d45a,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/balance_table_matched_donors.csv,590,0.0006,ok,ea6675f6928fc00cbc42a19974f0ede4bd90bd1d4f26e27d6bf96cf7db311ede,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/county_capacity_coverage_summary.csv,92,0.0001,ok,46888ae8136df216dd657a23e073d15c57078398f04e69444e7e51df5a458c54,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/data_coverage_by_year.csv,153,0.0001,ok,25b53a4be06fba03a343aa1742dcb0125d47b9c874a35aea8195a24ffce338f1,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/distribution_baseline_facility_density.pdf,15643,0.0149,ok,5a34dd6eaaad9c8f719cc87a09520bcb683ade363648e5870f5bfff57cafb1d3,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/distribution_baseline_facility_density.png,78158,0.0745,ok,485d8e30f7a769c8d050ce4720ff055ee1ff8b5eab44f18c388501b2c0b7d899,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/ipw_state_weights.csv,7612,0.0073,ok,d0c4797427141605f281e08c928cfd565b079cd9facdebd638361ceaeb68a5b5,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/map_baseline_capacity_state_proxy.pdf,20473,0.0195,ok,fe027b383a68a5c558e75329ea3f9b28f9609986a1cd873bd381b30d9856f0ba,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/map_baseline_capacity_state_proxy.png,111412,0.1063,ok,af7f40ec442a5a7bee281988f4e2db72118fc3a63ea99d3bcda0faa71c00411f,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/map_expansion_states_tile.pdf,19032,0.0182,ok,3091b98f4a835039957eac4e77c333614bdbcf7e17f5c6532c2c82056cc18aac,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/map_expansion_states_tile.png,121365,0.1157,ok,bd2748101e6525663275382be2effb7ce06edf6308c7529d7c3a2d42bc6eefd5,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/matched_donor_states.csv,299,0.0003,ok,558e7c4ef7847a6393a68e489472b7dfbbc898cef1b7a99fdbab60fda02a63cf,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/missingness_heatmap_state.pdf,15854,0.0151,ok,018224be6774c63208005912e3a5abd6aad12a63f5a698daedf1eee035bd873e,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/missingness_heatmap_state.png,95976,0.0915,ok,f9c9fb0d932458523b2a63cf767c838d1aebd3d5a938d1d601e4258f4f5ce0f9,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/missingness_summary.csv,127,0.0001,ok,e6606d885ac5f9c0be7db55983caa427508888c28a8ddf88de467905fc26f4a7,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/model_run_summary.json,401,0.0004,ok,a3a351766ed836dcfd0ecc09ef94ada52aaf72f253481848a560081c1c8ea6e5,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/outcome_distribution_service_categories_2024.pdf,15428,0.0147,ok,7996ee9894dbbe03d8cc9a8e61934eaafd2400228808806d1664f193e81920bf,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/outcome_distribution_service_categories_2024.png,86869,0.0828,ok,b9fd98388843d9488dc620365f0226138296cf988ec2adc59ffcfac2df82340e,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/propensity_overlap_scores.csv,1091,0.001,ok,363b4ca13c89b968381b852a85b3d3eb88c2edbc8de714ecdf62edd9bc55eb2b,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/raw_trend_crisis_intervention_per100k.pdf,15714,0.015,ok,2463bcb1b0500744bc22790949a16e7a23eaa23efb2bf833842c78b1d0e06cf7,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/raw_trend_crisis_intervention_per100k.png,131165,0.1251,ok,dfd3cb37d715aef118728fd87d4a50a9b56cee7f342047d8fcdda15ffaf19c70,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/raw_trend_facility_per100k.pdf,14422,0.0138,ok,7e08c07fb8b0f8937ff8b55bd0984753fbb6b439ff60513d30bd406b2623ee0f,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/raw_trend_facility_per100k.png,145751,0.139,ok,e7e756ad6dc9180e22cc5493bc3f23b0101b218723a160cf51ad90e3e0cfcc4d,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/raw_trend_moud_any_per100k.pdf,16776,0.016,ok,62bf0c4fe04a043fabe495646209a23b6d938bc91f3a468b4bb270572b49534b,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/raw_trend_moud_any_per100k.png,138210,0.1318,ok,e1f2133ace59ee24d1710ae151ba08b033bb14aab3489f444e82af3dea0602fb,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/raw_trend_targeted_services_per100k.pdf,15036,0.0143,ok,e1a665a401cab8baf1439675d5f9a0811624a648f61c400d2c165eea68e0c95c,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/raw_trend_targeted_services_per100k.png,131493,0.1254,ok,323054695356cc968af3f1a917a45199b10dbfacb400b5372a0f81d2058cb7f3,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/synthetic_control_gaps.csv,2742,0.0026,ok,bdb2352d3f4869ffc1387e55e386a655258800efe12d267697e0b7224d902034,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/synthetic_control_state_summary.csv,880,0.0008,ok,f3b882730db01ab7414f730d9fc7c86671fbbf62393d66a7f77d32257f7de24e,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/synthetic_control_weights.csv,3716,0.0035,ok,2c7ccadc480a68a2b037b9ee2be3314690eac97ae37d8041e1d68772e6f4d3c6,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/table_ddd_service_category.csv,204,0.0002,ok,1dc84ea6a4e227fee599cde16184e5607098d31bdb2f504694d8df225a7452ef,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/table_event_study_state.csv,3541,0.0034,ok,deeab9a16ddcf894792b710ca8a77074fd4898d283dc13cd03229b8ac029baa4,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/table_heterogeneity_low_capacity.csv,270,0.0003,ok,e6bf55bb4560c16d38b77ddda1db960ba0240f64ffe1bf45572779bf07a5cd67,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/table_leave_one_treated_out.csv,1236,0.0012,ok,114d70ebc49d5952f99c42c4b736a9782f99d82da0e9c43eb98442d4d7cfbe7e,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/table_main_state_did.csv,4172,0.004,ok,fc839eb79efb3689c886fe8516a7fabd734ac9c4941112067ca7ac5ca873620c,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/table_matched_did.csv,192,0.0002,ok,b41e899a33f26ec3db27e7a86b15f9befebe45ee44bfbfe3f842c35476a4a7a2,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/table_mechanism_heterogeneity.csv,734,0.0007,ok,0f206f48ae0d4e3449a1eb5d248d5d02eb9c1d94ea449ab4bebe5aa5747dda73,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/table_placebo_outcome.csv,224,0.0002,ok,88e5346c616e82831d54d87f045cde5c0dd2e47d859fce522ef2be9b5a036daf,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/result/table_placebo_year_2023.csv,445,0.0004,ok,bf2d959eedb2621b991535702f6ef2a4c598b337a1fa279a15fd469beda7e072,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/00_setup.py,6215,0.0059,ok,799c9f419ae76f184a71fd1c8157d4032f496205e328ad0cb96ef1bc394d98a3,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/01_acquire_sources.py,13984,0.0133,ok,31ef1a3fd2c401e3385aa782ea6a35d117f6d1a6b4b176679a18b88d1428efff,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/02_policy_and_treatment_panel.py,7324,0.007,ok,65d0d216ad2472b7c661d1bcdfe1f34fe2eff78d75481f2affee9f8c6db1268c,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/03_build_facility_county_panels.py,6786,0.0065,ok,71cf37e84a6337f82c485e378ac4ca247435adfff46e2947b4df618a30db356c,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/04_construct_outcomes.py,6086,0.0058,ok,bdddae02637084bbd8b912072d86e17f93864425d98af897cfdce5d2c67ced5d,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/05_descriptive_diagnostics.py,7144,0.0068,ok,0c5e60b737ccae79681517676e0d109915b1160a7aa113ec8fcf36f9907c132b,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/06_main_models.py,6704,0.0064,ok,a45a9c88e73fd2b943235c97b6a4665d0dce79e0e7a764aab7948c84ef5605e2,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/07_synthetic_and_selection_checks.py,7666,0.0073,ok,da0254d25bc8b13673639ddf6b1cbfd3ba46c9cad28c2b7e7d4e02d6a29aec96,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/08_mechanism_heterogeneity.py,4671,0.0045,ok,2a55545592454c7f47a841e0363808a418bc5b913a293de4e92ca74ba64b434b,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/09_write_report.py,9856,0.0094,ok,c46e056374821303c751592bb55cd40cbc915eabd1ca42bcc3b574ceb9098787,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/__pycache__/pipeline_utils.cpython-314.pyc,22492,0.0215,ok,23113244f2882435316a1bc42a2b5b5d2476b54b25965a885dbf0c1ef871e3f9,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/pipeline_utils.py,11166,0.0106,ok,ad7523544d327c6810a68c0aa9c43e71b4e990c18f7659336dcbd8c70b7a0d8a,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/run_all.ps1,845,0.0008,ok,9ea6a58e5788afd2c99d6c97bcbd13ccbf533624f0bb812b732848ae55c93f7a,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/script/run_all.sh,463,0.0004,ok,651990c7c2c60a9d9098d7e9a288378cc77545d7b1d91741856e5652140fe4f6,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/temp/audit_log.md,493,0.0005,ok,531eca55d9490bf5853198871c3e478d78ff1aab82751ce82ccc9d6a4b665c81,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/temp/iteration_notes.md,3970,0.0038,ok,e9aa800d53d1582bfcf85d1c85b8184b61c15e8133b0260674356abe3ba7f1c8,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/temp/raw_downloads/acs_county_covariates_2019_2024.csv,743795,0.7093,ok,10bbc3dbd1759f5f27f4346dfa0ffb0df95f05126518de8530c675195b709d11,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/temp/raw_downloads/N-SUMHSS-2021-DS0001-bndl-data-csv_v2.zip,3173827,3.0268,ok,360b8c9619783496416cf7892be4a4c393c0c53cd971dba4c1dfaad09d8245b6,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/temp/raw_downloads/N-SUMHSS-2022-DS0001-bndl-data-csv_v1.zip,3193020,3.0451,ok,e1cb9d5bf21f0043359a270dc335e4fead7308688a4e53b1c1313a22c0aa80d9,
ccbhc_expansion_capacity,ccbhc_expansion_capacity/temp/raw_downloads/N-SUMHSS-2023-DS0001-bndl-data-csv_v1.zip,2952783,2.816,ok,e9e5d8c1eb9bf12823585860fd7b726464e15f0aaf27eedde89a12f0e84458ad,
