"relative_path","size_bytes","extension","publish_status","github_path","reason"
"data\analysis_ready\coverage_transition_panel.parquet","42660567",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\exposure_temporary_crossing_panel.parquet","87128542",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal\sipp_2021_2024_longitudinal_4y_person_month.parquet","6452447",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal\sipp_2022_2024_longitudinal_3y_person_month.parquet","8113233",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal\sipp_2023_2024_longitudinal_2y_person_month.parquet","9264218",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2019\lgtrw2019yr2.parquet","69098441",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2020\lgtrw2020yr2.parquet","48984081",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2020\lgtrw2020yr3.parquet","44832378",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2021\lgtrw2021yr2.parquet","70249216",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2021\lgtrw2021yr3.parquet","34395100",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2021\lgtrw2021yr4.parquet","30409739",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2022\lgtrw2022yr2.parquet","31229540",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2022\lgtrw2022yr3.parquet","14198743",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2023\lgtrw2023yr2.parquet","52102504",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2023\lgtrw2023yr3.parquet","21658882",".parquet","excluded","","excluded_large_or_raw_format"
