data_quality_scenario,model,outcome,fpl_col,post_col,age_min,cutoff,bandwidth,coef_above_x_post,se_hc1,t_hc1,se_person_cluster,t_person_cluster,n_person_months,n_persons,n_person_clusters,n_states,min_cell_persons,min_cell_events,weighted_mean
original_screen_code,original_screen_code,uninsured,monthly_fpl,post_year2021,26,4.0,0.5,-0.02625644247865165,0.007161402873544437,-3.66638254295787,0.014274671517150185,-1.8393727972728526,217096,23755,23723,52,5562,2965,0.10224295425674863
original_screen_code,original_screen_code,any_coverage,monthly_fpl,post_year2021,26,4.0,0.5,0.026256442478396865,0.0071614028735443895,3.666382542922317,0.014274671517150464,1.8393727972549678,217096,23755,23723,52,5562,30705,0.8977570457432513
original_screen_code,original_screen_code,private,monthly_fpl,post_year2021,26,4.0,0.5,0.023719118909460435,0.008551749070044263,2.773598560386392,0.01706148186813375,1.3902144662921314,217096,23755,23723,52,5562,28417,0.8370788149724089
original_screen_code,original_screen_code,public,monthly_fpl,post_year2021,26,4.0,0.5,0.008149771884874698,0.006435258392817663,1.266424964997612,0.01318506469960882,0.6181063248871649,217096,23755,23723,52,5562,3177,0.088535707788396
original_screen_code,original_screen_code,medicaid,monthly_fpl,post_year2021,26,4.0,0.5,0.003272526423166333,0.005750016372367277,0.5691334095834994,0.011723878163826739,0.279133438392724,217096,23755,23723,52,5562,2383,0.06425388908246504
official_positive_wpfinwgt_only,official_positive_wpfinwgt_only,uninsured,monthly_fpl,post_year2021,26,4.0,0.5,-0.026260042755733015,0.007161390854902302,-3.666891430420504,0.014274654109365983,-1.8396272550312163,216811,23725,23693,51,5554,2952,0.10224166998292233
official_positive_wpfinwgt_only,official_positive_wpfinwgt_only,any_coverage,monthly_fpl,post_year2021,26,4.0,0.5,0.026260042755572144,0.007161390854902266,3.666891430398058,0.014274654109365587,1.8396272550199977,216811,23725,23693,51,5554,30675,0.8977583300170777
official_positive_wpfinwgt_only,official_positive_wpfinwgt_only,private,monthly_fpl,post_year2021,26,4.0,0.5,0.023722508470571668,0.008551741337647753,2.7739974274171386,0.01706146035765455,1.3904148867261923,216811,23725,23693,51,5554,28394,0.8370800235762519
official_positive_wpfinwgt_only,official_positive_wpfinwgt_only,public,monthly_fpl,post_year2021,26,4.0,0.5,0.00815007346679364,0.00643524836028363,1.2664738034188985,0.013185050628924421,0.6181298575308153,216811,23725,23693,51,5554,3170,0.08853582408017344
official_positive_wpfinwgt_only,official_positive_wpfinwgt_only,medicaid,monthly_fpl,post_year2021,26,4.0,0.5,0.0032725248586421563,0.005750008075040874,0.5691339587586394,0.011723862503453525,0.2791336778027004,216811,23725,23693,51,5554,2379,0.06425398203136393
official_positive_wpfinwgt_plus_health_usernote_correction,official_positive_wpfinwgt_plus_health_usernote_correction,uninsured,monthly_fpl,post_year2021,26,4.0,0.5,-0.02710513816232496,0.007173292417456643,-3.7786188802735765,0.014294324397104086,-1.8962168067079994,216857,23731,23699,51,5554,2972,0.10308420163828942
official_positive_wpfinwgt_plus_health_usernote_correction,official_positive_wpfinwgt_plus_health_usernote_correction,any_coverage,monthly_fpl,post_year2021,26,4.0,0.5,0.027105138162082376,0.00717329241745663,3.7786188802397658,0.014294324397103595,1.8962168066910938,216857,23731,23699,51,5554,30655,0.8969157983617105
official_positive_wpfinwgt_plus_health_usernote_correction,official_positive_wpfinwgt_plus_health_usernote_correction,private,monthly_fpl,post_year2021,26,4.0,0.5,0.02375422364677071,0.00855092993333638,2.7779696280942803,0.017063511217625324,1.392106427792797,216857,23731,23699,51,5554,28394,0.8369715754458875
official_positive_wpfinwgt_plus_health_usernote_correction,official_positive_wpfinwgt_plus_health_usernote_correction,public,monthly_fpl,post_year2021,26,4.0,0.5,0.0065993552946349565,0.006385081699776967,1.0335584734750496,0.01304634810828735,0.5058392770037226,216857,23731,23699,51,5554,3131,0.08597564993375059
official_positive_wpfinwgt_plus_health_usernote_correction,official_positive_wpfinwgt_plus_health_usernote_correction,medicaid,monthly_fpl,post_year2021,26,4.0,0.5,0.0020342658231205513,0.005695659245857444,0.3571607315869729,0.011556561154497673,0.17602691630536127,216857,23731,23699,51,5554,2341,0.06193304119416916
