state,state_name,primary_policy_group,actual_collection_start,operational_start,observed_fee_revenue_total_2021_2024,max_observed_fee_revenue_per_capita,pre_answer_rate,post_answer_rate,delta_answer_rate,pre_flowout_rate,post_flowout_rate,delta_flowout_rate,pre_asa_seconds,post_asa_seconds,delta_asa_seconds
CA,California,fee_collected_2021_2024,2023-01-01,2023-04-01,88552000.0,1.1300182812538324,0.8604269773806292,0.8594863956619289,-0.0009405817187003729,0.006193948080862781,0.033801499043798526,0.027607550962935747,39.333333333333336,30.181081081081075,-9.15225225225226
CO,Colorado,fee_collected_2021_2024,2022-01-01,2022-04-01,55152440.27,4.026721293452228,0.5803005802886477,0.797284763932104,0.21698418364345629,0.17020889919635074,0.10450596743987657,-0.06570293175647417,47.44444444444444,21.757142857142856,-25.687301587301587
DE,Delaware,fee_collected_2021_2024,2024-01-01,2024-04-01,9212568.86,8.77284742834887,0.7317381808647874,0.8410116848717017,0.10927350400691438,0.13399362299591774,0.044686288024126525,-0.08930733497179122,21.90909090909091,28.324,6.414909090909092
MD,Maryland,fee_collected_2021_2024,2024-10-01,2025-01-01,4812066.0,0.7705082562702211,0.8687154960404416,0.9178558835263656,0.049140387485923975,0.00668824161518365,0.0015930474731369578,-0.005095194142046692,31.85714285714285,23.0125,-8.844642857142851
MN,Minnesota,fee_collected_2021_2024,2024-01-01,2024-04-01,3387491.0,0.5843116014837673,0.7811333655537672,0.9031661793419826,0.1220328137882154,0.07742110015263237,0.023858551330045392,-0.05356254882258698,33.57575757575758,20.451999999999998,-13.12375757575758
NV,Nevada,fee_collected_2021_2024,2023-06-01,2023-09-01,22849219.15,4.566922213722087,0.7065057341073657,0.7627398707242657,0.05623413661690002,0.11367928886166401,0.11522664697416915,0.0015473581125051428,34.46153846153846,26.071875,-8.389663461538461
OR,Oregon,fee_collected_2021_2024,2024-01-01,2024-04-01,24800000.0,5.814329696876486,0.8033610208502246,0.8487222197390243,0.045361198888799636,0.07448802332432901,0.06143817674322781,-0.013049846581101199,30.939393939393938,25.372,-5.567393939393938
VA,Virginia,fee_collected_2021_2024,2021-07-01,2021-10-01,38017025.739999995,1.38802939733835,0.6871894745815247,0.834349419361533,0.14715994478000827,0.053531262015254905,0.04065578796648747,-0.012875474048767432,74.66666666666667,41.96181818181818,-32.70484848484849
VT,Vermont,fee_start_after_2024,2025-07-01,2025-10-01,0.0,0.0,0.8287536858182771,0.8274194594795685,-0.0013342263387086106,0.08208496308672347,0.08661750172486896,0.0045325386381454835,18.878,23.4625,4.5844999999999985
WA,Washington,fee_collected_2021_2024,2021-10-01,2022-01-01,109545584.84,5.89008994876108,0.7363896022254872,0.8721994265488314,0.1358098243233442,0.08055966793182245,0.03287001567688266,-0.04768965225493979,32.333333333333336,24.663461538461533,-7.669871794871803
