model,outcome,term,estimate,std_error_cluster,t_stat,p_value,nobs,n_clusters,r2
dose_fee_cents,in_state_answer_rate,fee_cents_max,-0.00021299763424162984,0.0008556815627440016,-0.24892161233273338,0.8044410942049705,2142,51,0.5471682554968892
dose_revenue_per_100k_2021_2024,in_state_answer_rate,fee_revenue_per_100k_observed,-1.594221508509061e-08,6.235005993666395e-08,-0.2556888493978183,0.799240072114324,2142,51,0.5471730382292748
dose_fee_cents,flowout_to_national_backup_rate,fee_cents_max,0.0004382940838218093,0.0008409018630330436,0.5212190662069996,0.6045151830211832,2142,51,0.41024119878257226
dose_revenue_per_100k_2021_2024,flowout_to_national_backup_rate,fee_revenue_per_100k_observed,2.6702839782240356e-08,6.000858388743674e-08,0.4449836682086878,0.6582520429111134,2142,51,0.40997865550916635
dose_fee_cents,abandoned_in_state_rate,fee_cents_max,-0.0002043596521194477,0.0002224636732832813,-0.9186203262013918,0.36270457732100647,2142,51,0.6670948204402214
dose_revenue_per_100k_2021_2024,abandoned_in_state_rate,fee_revenue_per_100k_observed,-9.124319983380534e-09,1.4566776080175978e-08,-0.6263788180143636,0.5339159003139551,2142,51,0.6668818818731223
dose_fee_cents,average_speed_to_answer_seconds,fee_cents_max,-0.09455968072807663,0.06928519000626229,-1.3647892243570368,0.1784298679598446,2142,51,0.6413145890612367
dose_revenue_per_100k_2021_2024,average_speed_to_answer_seconds,fee_revenue_per_100k_observed,-6.8945443758846306e-06,5.6268768160071244e-06,-1.2252879530384055,0.22620743582936487,2142,51,0.6413064345060862
dose_fee_cents,log_routed_per_100k,fee_cents_max,-0.002148663497923655,0.0015330929559274004,-1.4015219948772661,0.16723513672574364,2142,51,0.8449980210680099
dose_revenue_per_100k_2021_2024,log_routed_per_100k,fee_revenue_per_100k_observed,-1.7183907669708238e-07,9.829049135908128e-08,-1.7482777257599473,0.0865539723556803,2142,51,0.8451764864423029
