model,outcome,term,estimate,std_error_cluster,t_stat,p_value,nobs,n_clusters,r2
heterogeneity_baseline_answer_binary,in_state_answer_rate,operational_treatment_active,-0.04037203690601887,0.024795939556120555,-1.628171290490727,0.10977433680275106,2936,51,0.526182358047993
heterogeneity_baseline_answer_binary,in_state_answer_rate,active_x_low_baseline_answer,0.07082611401356423,0.028216861328529706,2.5100635109246845,0.01535305404497933,2936,51,0.526182358047993
heterogeneity_baseline_volume_binary,in_state_answer_rate,operational_treatment_active,0.05534380374410256,0.011502008090529963,4.811664477063722,1.4195887992674017e-05,2936,51,0.5255162171852742
heterogeneity_baseline_volume_binary,in_state_answer_rate,active_x_high_baseline_volume,-0.06643789494322014,0.019246890397812064,-3.4518768263351585,0.0011413796532513398,2936,51,0.5255162171852742
heterogeneity_baseline_answer_continuous,in_state_answer_rate,operational_treatment_active,-0.0005692533548360221,0.015171539643481207,-0.037521132872009776,0.970218899201148,2936,51,0.5291914674667437
heterogeneity_baseline_answer_continuous,in_state_answer_rate,active_x_baseline_answer_centered,-0.5341017884316642,0.07890338719470252,-6.7690603334139645,1.37915874276473e-08,2936,51,0.5291914674667437
heterogeneity_baseline_volume_continuous,in_state_answer_rate,operational_treatment_active,0.014725886762884867,0.01865801592520499,0.7892525562158924,0.43369117771437193,2936,51,0.5234984264860215
heterogeneity_baseline_volume_continuous,in_state_answer_rate,active_x_baseline_volume_centered,-0.0009985027031502287,0.001037990656055063,-0.9619573137055872,0.3407003050549351,2936,51,0.5234984264860215
heterogeneity_baseline_answer_binary,flowout_to_national_backup_rate,operational_treatment_active,0.03781992287423586,0.013023595455999657,2.9039540580027103,0.0054723747993892236,2936,51,0.37883648050786545
heterogeneity_baseline_answer_binary,flowout_to_national_backup_rate,active_x_low_baseline_answer,-0.05179871350634177,0.017928718242558334,-2.8891476125373234,0.005697459087700363,2936,51,0.37883648050786545
heterogeneity_baseline_volume_binary,flowout_to_national_backup_rate,operational_treatment_active,-0.04664743726197344,0.015386843643256886,-3.0316443283295573,0.003847433910190823,2936,51,0.3808502641843816
heterogeneity_baseline_volume_binary,flowout_to_national_backup_rate,active_x_high_baseline_volume,0.06840494602503555,0.015108377614894246,4.527616913519563,3.7125004371363346e-05,2936,51,0.3808502641843816
heterogeneity_baseline_answer_continuous,flowout_to_national_backup_rate,operational_treatment_active,0.007338916884622938,0.013695865092515429,0.5358490927771725,0.5944386675575315,2936,51,0.37918577224885286
heterogeneity_baseline_answer_continuous,flowout_to_national_backup_rate,active_x_baseline_answer_centered,0.29181749841992766,0.05571125999627801,5.2380344375521855,3.2509711189732116e-06,2936,51,0.37918577224885286
heterogeneity_baseline_volume_continuous,flowout_to_national_backup_rate,operational_treatment_active,-0.007311972361881556,0.016811895642694925,-0.434928488570457,0.6654858665912919,2936,51,0.3769255696250786
heterogeneity_baseline_volume_continuous,flowout_to_national_backup_rate,active_x_baseline_volume_centered,0.001342860973278662,0.0009640576896366328,1.3929259500899844,0.16980491610475457,2936,51,0.3769255696250786
heterogeneity_baseline_answer_binary,average_speed_to_answer_seconds,operational_treatment_active,-4.885457909202907,3.015147024733569,-1.6203050362476459,0.11145742920720858,2936,51,0.6149121591582447
heterogeneity_baseline_answer_binary,average_speed_to_answer_seconds,active_x_low_baseline_answer,1.3921913469541793,4.439495273744199,0.3135922579280116,0.755135286626684,2936,51,0.6149121591582447
heterogeneity_baseline_volume_binary,average_speed_to_answer_seconds,operational_treatment_active,-0.6595470889456974,7.188493078552977,-0.09175039632624399,0.9272629709556468,2936,51,0.6160171093518634
heterogeneity_baseline_volume_binary,average_speed_to_answer_seconds,active_x_high_baseline_volume,-4.51750565368565,7.383075090547992,-0.6118731826890235,0.5433941036247358,2936,51,0.6160171093518634
heterogeneity_baseline_answer_continuous,average_speed_to_answer_seconds,operational_treatment_active,-3.537641273880964,2.5322323292694007,-1.3970445100910798,0.1685698956263726,2936,51,0.6169235202115122
heterogeneity_baseline_answer_continuous,average_speed_to_answer_seconds,active_x_baseline_answer_centered,30.241683230301998,20.43574121099066,1.479842738174701,0.14518889281869263,2936,51,0.6169235202115122
heterogeneity_baseline_volume_continuous,average_speed_to_answer_seconds,operational_treatment_active,-2.270762553298062,3.3877100021887205,-0.6702942553615792,0.5057545054325325,2936,51,0.6169453748396553
heterogeneity_baseline_volume_continuous,average_speed_to_answer_seconds,active_x_baseline_volume_centered,-0.21365225890156656,0.22357361947830479,-0.9556237421933361,0.3438600728587238,2936,51,0.6169453748396553
