model,outcome,term,estimate,std_error_cluster,t_stat,p_value,nobs,n_clusters,r2,states
main_operational,in_state_answer_rate,operational_treatment_active,0.006843554056967497,0.02028722331884507,0.3373332047175933,0.7372777808143158,2936,51,0.523065054651396,51
main_operational,flowout_to_national_backup_rate,operational_treatment_active,0.0032887770759993697,0.015997004128037322,0.20558706178210323,0.8379482408008103,2936,51,0.37523027946970255,51
main_operational,average_speed_to_answer_seconds,operational_treatment_active,-3.9573660874858003,2.646766911992732,-1.4951698502632131,0.14115538607260536,2936,51,0.6147807596835397,51
drop_988_launch_transition_2022h2,in_state_answer_rate,operational_treatment_active,0.008579362230817362,0.021765044097458233,0.39418078789095023,0.6951237915193453,2630,51,0.5252648985540975,51
drop_988_launch_transition_2022h2,flowout_to_national_backup_rate,operational_treatment_active,0.002605018219908008,0.016448126249860043,0.15837781035576465,0.8747970438687405,2630,51,0.3720993451594641,51
drop_988_launch_transition_2022h2,average_speed_to_answer_seconds,operational_treatment_active,-3.818325056977326,2.6845694887274374,-1.4223230477030122,0.16114129940374777,2630,51,0.6260007747832481,51
drop_early_adopters_va_wa,in_state_answer_rate,operational_treatment_active,0.003551184484350843,0.021388019053345475,0.16603615676110842,0.8688258968000206,2820,49,0.527573151112559,49
drop_early_adopters_va_wa,flowout_to_national_backup_rate,operational_treatment_active,0.004170268325844415,0.01687469662439928,0.24713145478506474,0.805860483610723,2820,49,0.379708642000793,49
drop_early_adopters_va_wa,average_speed_to_answer_seconds,operational_treatment_active,-3.1988274317447924,2.686701297588747,-1.190615210784938,0.2396596170872083,2820,49,0.6189381063320432,49
balanced_full_window_states,in_state_answer_rate,operational_treatment_active,0.006843554056967497,0.02028722331884507,0.3373332047175933,0.7372777808143158,2936,51,0.523065054651396,51
balanced_full_window_states,flowout_to_national_backup_rate,operational_treatment_active,0.0032887770759993697,0.015997004128037322,0.20558706178210323,0.8379482408008103,2936,51,0.37523027946970255,51
balanced_full_window_states,average_speed_to_answer_seconds,operational_treatment_active,-3.9573660874858003,2.646766911992732,-1.4951698502632131,0.14115538607260536,2936,51,0.6147807596835397,51
through_2024_only,in_state_answer_rate,operational_treatment_active,-0.006381085601644625,0.027077834496385005,-0.23565716093347583,0.8146613136066736,2142,51,0.5471412476719693,51
through_2024_only,flowout_to_national_backup_rate,operational_treatment_active,0.02196228531309835,0.019598687954326715,1.120599775060444,0.2678119319287069,2142,51,0.41111227443884957,51
through_2024_only,average_speed_to_answer_seconds,operational_treatment_active,-6.9417251836740075,2.58525376086786,-2.6851233286065104,0.009810804261122241,2142,51,0.6485582942786126,51
drop_2021_startup_months,in_state_answer_rate,operational_treatment_active,0.005927213601408748,0.017451507886406054,0.3396390523953396,0.7355509430838363,2630,51,0.5441367589013733,51
drop_2021_startup_months,flowout_to_national_backup_rate,operational_treatment_active,-0.0023178627079678536,0.01653763206413789,-0.14015686762037563,0.8890991412485743,2630,51,0.4170561717601089,51
drop_2021_startup_months,average_speed_to_answer_seconds,operational_treatment_active,-2.717373464000689,2.49210617362998,-1.0903923327000897,0.2807674359323997,2630,51,0.6254326652816766,51
include_post2025_monitor_rows,in_state_answer_rate,operational_treatment_active,0.004670831881569913,0.020699582627191862,0.22564860198843367,0.8223945513550364,2958,51,0.5144164281742236,51
include_post2025_monitor_rows,flowout_to_national_backup_rate,operational_treatment_active,0.00494316496053115,0.01639128388618374,0.3015727745828231,0.7642285006960927,2958,51,0.36036979782267087,51
include_post2025_monitor_rows,average_speed_to_answer_seconds,operational_treatment_active,-3.8916538989374887,2.6523075007993904,-1.4672710075149908,0.14856471965472062,2958,51,0.6131163390905028,51
leave_out_CA,in_state_answer_rate,operational_treatment_active,0.01953651370293074,0.017833028082535146,1.0955241932279527,0.27864260548624564,2878,50,0.5270846951128723,50
leave_out_CO,in_state_answer_rate,operational_treatment_active,9.527934652172362e-05,0.019982424587774043,0.004768157442716882,0.9962149350601597,2878,50,0.5234774597938052,50
leave_out_DE,in_state_answer_rate,operational_treatment_active,-7.081711472546148e-05,0.021229839916093583,-0.003335734749077291,0.9973520174774064,2878,50,0.522143266101109,50
leave_out_MD,in_state_answer_rate,operational_treatment_active,0.00810140438665193,0.022306601253193028,0.363184166637321,0.7180294516903722,2878,50,0.5202969046223388,50
leave_out_MN,in_state_answer_rate,operational_treatment_active,-0.0004661141460690758,0.0211351995138739,-0.022053926946045712,0.9824945033590877,2878,50,0.5248383241415162,50
leave_out_NV,in_state_answer_rate,operational_treatment_active,0.010461602876497106,0.022479103961077357,0.46539234369000676,0.6437123807475074,2878,50,0.5215184877298005,50
leave_out_OR,in_state_answer_rate,operational_treatment_active,0.010266740767557861,0.022557669211644413,0.45513304904117063,0.6510238045684376,2878,50,0.5237041691510007,50
leave_out_VA,in_state_answer_rate,operational_treatment_active,0.004080171269690774,0.020538800900347567,0.1986567419143601,0.8433532398518087,2878,50,0.5303687011517166,50
leave_out_WA,in_state_answer_rate,operational_treatment_active,0.006507628964169513,0.021078473310273182,0.3087334110197553,0.7588331737101481,2878,50,0.5203062748889601,50
