model,outcome,term,estimate,std_error_cluster,t_stat,p_value,nobs,n_clusters,r2
twfe_operational_start,in_state_answer_rate,operational_treatment_active,0.006843554056967497,0.02028722331884507,0.3373332047175933,0.7372777808143158,2936,51,0.523065054651396
twfe_collection_start,in_state_answer_rate,fee_collection_active,-0.009502123977423855,0.021953032032333203,-0.432838797093212,0.6669932804442658,2936,51,0.5231643183098006
twfe_operational_start,flowout_to_national_backup_rate,operational_treatment_active,0.0032887770759993697,0.015997004128037322,0.20558706178210323,0.8379482408008103,2936,51,0.37523027946970255
twfe_collection_start,flowout_to_national_backup_rate,fee_collection_active,0.012207875458480255,0.018235085684187628,0.6694717902568559,0.5062744264146424,2936,51,0.37594584117655283
twfe_operational_start,abandoned_in_state_rate,operational_treatment_active,-0.008554514624826658,0.009707594276512983,-0.8812188046964282,0.3824159220897463,2936,51,0.6461718857316434
twfe_collection_start,abandoned_in_state_rate,fee_collection_active,-0.0011538090930906944,0.009064258007884135,-0.12729217240805654,0.8992197166603588,2936,51,0.645454137237059
twfe_operational_start,average_speed_to_answer_seconds,operational_treatment_active,-3.9573660874858003,2.646766911992732,-1.4951698502632131,0.14115538607260536,2936,51,0.6147807596835397
twfe_collection_start,average_speed_to_answer_seconds,fee_collection_active,-3.1558254255972162,2.616290619087774,-1.2062212823656275,0.23340883498336806,2936,51,0.613099419790142
twfe_operational_start,log_routed_per_100k,operational_treatment_active,-0.016121367832991784,0.04801628923545317,-0.33574789076138056,0.738465808245969,2936,51,0.8695211079351739
twfe_collection_start,log_routed_per_100k,fee_collection_active,-0.022686656206593367,0.05717650506237711,-0.39678284256519697,0.6932161500575151,2936,51,0.8695556478541082
