event_time,att,cells
-12,0.038620578925696966,5.0
-11,0.03029509544991597,5.0
-10,0.015559483280421707,5.0
-9,0.05185245844683514,6.0
-8,0.04464909641976515,5.0
-7,0.06195604534661867,6.0
-6,0.045389573816813425,7.0
-5,0.051838342752600054,7.0
-4,0.03712103793359072,7.0
-3,0.025081063599565766,8.0
-2,0.01882723841103843,8.0
0,0.02201883271404311,8.0
1,0.031151965489665225,7.0
2,0.045110220647594367,8.0
3,0.0701893912183293,8.0
4,0.0587227218536891,8.0
5,0.03884625479800209,8.0
6,0.05845066462806727,8.0
7,0.0645231616455682,8.0
8,0.060379537624758686,7.0
9,0.04272579326298393,7.0
10,0.03576550114275255,6.0
11,0.04657303788820595,7.0
12,0.05920413980130098,7.0
13,0.054978165086345294,7.0
14,0.06853595310900053,7.0
15,0.0753937384680984,7.0
16,0.07176272137553845,7.0
17,0.0904423411566119,5.0
18,0.09054089352033345,6.0
19,0.08945516918229651,6.0
20,0.08864842151878863,6.0
21,0.08964414698930609,6.0
22,0.11739950302703131,5.0
23,0.08867532168118966,6.0
24,0.09227583694267061,6.0
25,0.08702909120434352,6.0
26,0.11583397487159522,5.0
27,0.10423516002493712,5.0
28,0.037240851940114734,5.0
29,0.08604992906565444,5.0
30,0.09889500845323332,5.0
