outcome,timing,cohort_start,month,event_time,period,att,treated_delta,control_delta,n_treated_states,n_control_states
in_state_answer_rate,operational_start,2021-10-01,2021-07-01,-3,pre,-0.030052576428049406,-0.0062770252290907935,0.023775551198958612,1,51
in_state_answer_rate,operational_start,2021-10-01,2021-08-01,-2,pre,-0.05434403703636648,-0.03280814579757696,0.021535891238789514,1,51
in_state_answer_rate,operational_start,2021-10-01,2021-10-01,0,post,0.02006393464084172,0.03426489369694241,0.014200959056100691,1,50
in_state_answer_rate,operational_start,2021-10-01,2021-11-01,1,post,0.0041959311258947946,0.03569270796866075,0.03149677684276596,1,50
in_state_answer_rate,operational_start,2021-10-01,2021-12-01,2,post,0.03738568569758306,0.07013895117872304,0.03275326548113998,1,50
in_state_answer_rate,operational_start,2021-10-01,2022-01-01,3,post,0.13004594554154375,0.16055695347818977,0.03051100793664603,1,49
in_state_answer_rate,operational_start,2021-10-01,2022-02-01,4,post,0.09898202075400844,0.13998420899276431,0.041002188238755864,1,49
in_state_answer_rate,operational_start,2021-10-01,2022-03-01,5,post,0.0849440650162531,0.12818036310143344,0.043236298085180334,1,49
in_state_answer_rate,operational_start,2021-10-01,2022-04-01,6,post,0.09339140850284311,0.13689761666979783,0.04350620816695472,1,48
in_state_answer_rate,operational_start,2021-10-01,2022-05-01,7,post,0.09772486332124769,0.14563955318800614,0.04791468986675845,1,48
in_state_answer_rate,operational_start,2021-10-01,2022-06-01,8,post,0.07264983560287985,0.13369442339583593,0.06104458779295608,1,48
in_state_answer_rate,operational_start,2021-10-01,2022-07-01,9,post,-0.002843470040520671,0.08770555186564888,0.09054902190616955,1,48
in_state_answer_rate,operational_start,2021-10-01,2022-08-01,10,post,-0.009293616975695043,0.0982864973529457,0.10758011432864074,1,48
in_state_answer_rate,operational_start,2021-10-01,2022-09-01,11,post,0.0698043416568364,0.168774499202619,0.0989701575457826,1,48
in_state_answer_rate,operational_start,2021-10-01,2022-10-01,12,post,0.11558583200837835,0.21672221450985663,0.10113638250147827,1,48
in_state_answer_rate,operational_start,2021-10-01,2022-11-01,13,post,0.08791455549497267,0.21247022721818098,0.12455567172320832,1,48
in_state_answer_rate,operational_start,2021-10-01,2022-12-01,14,post,0.07483792405436757,0.1937639405346152,0.11892601648024764,1,48
in_state_answer_rate,operational_start,2021-10-01,2023-01-01,15,post,0.057024500512193765,0.17413812643407223,0.11711362592187846,1,48
in_state_answer_rate,operational_start,2021-10-01,2023-02-01,16,post,0.06260140339253811,0.19023420785809475,0.12763280446555664,1,48
in_state_answer_rate,operational_start,2021-10-01,2023-03-01,17,post,0.09403263909592274,0.21738578932783392,0.12335315023191118,1,48
in_state_answer_rate,operational_start,2021-10-01,2023-04-01,18,post,0.09487456257017368,0.2236050939900246,0.1287305314198509,1,47
in_state_answer_rate,operational_start,2021-10-01,2023-05-01,19,post,0.08331524371899729,0.22266729379322137,0.13935205007422408,1,47
in_state_answer_rate,operational_start,2021-10-01,2023-06-01,20,post,0.07909869256966134,0.21948630834619465,0.1403876157765333,1,47
in_state_answer_rate,operational_start,2021-10-01,2023-07-01,21,post,0.07794784564143126,0.21723301835180164,0.1392851727103704,1,47
in_state_answer_rate,operational_start,2021-10-01,2023-08-01,22,post,0.07664559808857158,0.2117162914548536,0.13507069336628202,1,47
in_state_answer_rate,operational_start,2021-10-01,2023-09-01,23,post,0.0620888065412008,0.19912567993402075,0.13703687339281995,1,46
in_state_answer_rate,operational_start,2021-10-01,2023-10-01,24,post,0.06906579899660545,0.21032973930774002,0.14126394031113457,1,46
in_state_answer_rate,operational_start,2021-10-01,2023-11-01,25,post,0.05910375733715584,0.19795404014360363,0.1388502828064478,1,46
in_state_answer_rate,operational_start,2021-10-01,2023-12-01,26,post,0.04947222832952189,0.18340393822789314,0.13393170989837125,1,46
in_state_answer_rate,operational_start,2021-10-01,2024-01-01,27,post,0.04404872041414307,0.18077998659212768,0.13673126617798462,1,46
in_state_answer_rate,operational_start,2021-10-01,2024-02-01,28,post,-0.01817846434002568,0.12180674221475929,0.13998520655478497,1,46
in_state_answer_rate,operational_start,2021-10-01,2024-03-01,29,post,-0.052305612043715755,0.09502125614475765,0.1473268681884734,1,46
in_state_answer_rate,operational_start,2021-10-01,2024-04-01,30,post,0.01856238283562678,0.1659422753451013,0.14737989250947453,1,43
in_state_answer_rate,operational_start,2022-01-01,2021-07-01,-6,pre,0.0555385451779058,0.045827778234987515,-0.009710766942918286,1,51
in_state_answer_rate,operational_start,2022-01-01,2021-08-01,-5,pre,0.05174128453111808,0.039790857628030696,-0.011950426903087383,1,51
in_state_answer_rate,operational_start,2022-01-01,2021-09-01,-4,pre,0.06780533377430646,0.03431901563242956,-0.0334863181418769,1,51
in_state_answer_rate,operational_start,2022-01-01,2021-10-01,-3,pre,0.060714619562200964,0.04216231313716168,-0.01855230642503929,1,50
in_state_answer_rate,operational_start,2022-01-01,2021-11-01,-2,pre,0.033150461941027436,0.03189397330265342,-0.001256488638374016,1,50
in_state_answer_rate,operational_start,2022-01-01,2022-01-01,0,post,-0.02169331279221288,-0.025304392400249065,-0.0036110796080361827,1,49
in_state_answer_rate,operational_start,2022-01-01,2022-02-01,1,post,-0.035960252757431886,-0.029080152063358233,0.0068801006940736546,1,49
in_state_answer_rate,operational_start,2022-01-01,2022-03-01,2,post,-0.02315397664192377,-0.014039766101425655,0.009114210540498116,1,49
in_state_answer_rate,operational_start,2022-01-01,2022-04-01,3,post,-0.05241706567178059,-0.042614550496935966,0.009802515174844623,1,48
in_state_answer_rate,operational_start,2022-01-01,2022-05-01,4,post,-0.08944094847085018,-0.07522995159620183,0.014210996874648357,1,48
in_state_answer_rate,operational_start,2022-01-01,2022-06-01,5,post,-0.07834117921846993,-0.05100028441762394,0.027340894800845988,1,48
in_state_answer_rate,operational_start,2022-01-01,2022-07-01,6,post,0.06073755399497083,0.1175828829090303,0.05684532891405947,1,48
in_state_answer_rate,operational_start,2022-01-01,2022-08-01,7,post,0.08598245314537585,0.1598588744819065,0.07387642133653065,1,48
in_state_answer_rate,operational_start,2022-01-01,2022-09-01,8,post,0.09250782841626266,0.15777429296993517,0.0652664645536725,1,48
in_state_answer_rate,operational_start,2022-01-01,2022-10-01,9,post,0.11393547354584611,0.1813681630552143,0.06743268950936819,1,48
in_state_answer_rate,operational_start,2022-01-01,2022-11-01,10,post,0.08172224569792079,0.17257422442901904,0.09085197873109825,1,48
in_state_answer_rate,operational_start,2022-01-01,2022-12-01,11,post,0.08317296227909939,0.16839528576723695,0.08522232348813756,1,48
in_state_answer_rate,operational_start,2022-01-01,2023-01-01,12,post,0.1016676921515256,0.185077625081294,0.0834099329297684,1,48
in_state_answer_rate,operational_start,2022-01-01,2023-02-01,13,post,0.07167755116130299,0.16560666263474955,0.09392911147344656,1,48
in_state_answer_rate,operational_start,2022-01-01,2023-03-01,14,post,0.0715178891478822,0.16116734638768326,0.08964945723980107,1,48
in_state_answer_rate,operational_start,2022-01-01,2023-04-01,15,post,0.07202505607426771,0.16670200993981366,0.09467695386554595,1,47
in_state_answer_rate,operational_start,2022-01-01,2023-05-01,16,post,0.07063259662714226,0.17593106914706136,0.1052984725199191,1,47
in_state_answer_rate,operational_start,2022-01-01,2023-06-01,17,post,0.05401297224327253,0.16034701046550082,0.10633403822222828,1,47
in_state_answer_rate,operational_start,2022-01-01,2023-07-01,18,post,0.07216739318202517,0.17739898833809054,0.10523159515606537,1,47
in_state_answer_rate,operational_start,2022-01-01,2023-08-01,19,post,0.03446878839214587,0.13548590420412288,0.101017115811977,1,47
in_state_answer_rate,operational_start,2022-01-01,2023-09-01,20,post,0.09080195087808071,0.19513042021251925,0.10432846933443854,1,46
in_state_answer_rate,operational_start,2022-01-01,2023-10-01,21,post,0.09744009456388,0.2059956308166332,0.10855553625275319,1,46
in_state_answer_rate,operational_start,2022-01-01,2023-11-01,22,post,0.08018817148092253,0.18633005022898896,0.10614187874806644,1,46
in_state_answer_rate,operational_start,2022-01-01,2023-12-01,23,post,0.10163036736883642,0.2028536732088263,0.10122330583998988,1,46
in_state_answer_rate,operational_start,2022-01-01,2024-01-01,24,post,0.10367661540087668,0.2076994775204799,0.10402286211960322,1,46
in_state_answer_rate,operational_start,2022-01-01,2024-02-01,25,post,0.09512215930031817,0.2023989617967218,0.10727680249640362,1,46
in_state_answer_rate,operational_start,2022-01-01,2024-03-01,26,post,0.0784692053891216,0.19308766951921363,0.11461846413009204,1,46
in_state_answer_rate,operational_start,2022-01-01,2024-04-01,27,post,0.07633366710965789,0.1908079623994109,0.114474295289753,1,43
in_state_answer_rate,operational_start,2022-01-01,2024-05-01,28,post,0.09133967495492311,0.20140328336714297,0.11006360841221986,1,43
in_state_answer_rate,operational_start,2022-01-01,2024-06-01,29,post,0.11133671809221156,0.2074976423043794,0.09616092421216783,1,43
in_state_answer_rate,operational_start,2022-01-01,2024-07-01,30,post,0.11038852070081774,0.20458808441790866,0.09419956371709091,1,43
in_state_answer_rate,operational_start,2022-04-01,2021-07-01,-9,pre,0.3577812601242958,0.3384509252930306,-0.019330334831265197,1,51
in_state_answer_rate,operational_start,2022-04-01,2021-08-01,-8,pre,0.25805088083827105,0.23648088604683676,-0.0215699947914343,1,51
in_state_answer_rate,operational_start,2022-04-01,2021-09-01,-7,pre,0.2478368276032707,0.2047309415730469,-0.04310588603022381,1,51
in_state_answer_rate,operational_start,2022-04-01,2021-10-01,-6,pre,0.2226947239545724,0.19549128652187348,-0.02720343743269893,1,50
in_state_answer_rate,operational_start,2022-04-01,2021-11-01,-5,pre,0.23202295693571517,0.22211533728968152,-0.009907619646033658,1,50
in_state_answer_rate,operational_start,2022-04-01,2021-12-01,-4,pre,0.26758709864885044,0.2589359676411908,-0.008651131007659641,1,50
in_state_answer_rate,operational_start,2022-04-01,2022-01-01,-3,pre,0.18170562546159147,0.16898033531305717,-0.012725290148534303,1,49
in_state_answer_rate,operational_start,2022-04-01,2022-02-01,-2,pre,0.1720024565932879,0.16976834674686342,-0.0022341098464244646,1,49
in_state_answer_rate,operational_start,2022-04-01,2022-04-01,0,post,0.15346138941477008,0.14856531533699807,-0.004896074077772015,1,48
in_state_answer_rate,operational_start,2022-04-01,2022-05-01,1,post,0.13318260683149105,0.13269501445352277,-0.00048759237796827903,1,48
in_state_answer_rate,operational_start,2022-04-01,2022-06-01,2,post,0.14734152085516708,0.15998382640339642,0.012642305548229352,1,48
in_state_answer_rate,operational_start,2022-04-01,2022-07-01,3,post,0.35390634535656784,0.3960530850180107,0.042146739661442834,1,48
in_state_answer_rate,operational_start,2022-04-01,2022-08-01,4,post,0.383400511604525,0.442578343688439,0.05917783208391401,1,48
in_state_answer_rate,operational_start,2022-04-01,2022-09-01,5,post,0.33252118600724273,0.3830890613082986,0.050567875301055866,1,48
in_state_answer_rate,operational_start,2022-04-01,2022-10-01,6,post,0.25630012610738495,0.3090342263641365,0.05273410025675155,1,48
in_state_answer_rate,operational_start,2022-04-01,2022-11-01,7,post,0.2473600903203204,0.323513479798802,0.0761533894784816,1,48
in_state_answer_rate,operational_start,2022-04-01,2022-12-01,8,post,0.30733245661507985,0.3778561908506008,0.07052373423552093,1,48
in_state_answer_rate,operational_start,2022-04-01,2023-01-01,9,post,0.2754324013278564,0.34414374500500816,0.06871134367715175,1,48
in_state_answer_rate,operational_start,2022-04-01,2023-02-01,10,post,0.16421996607684625,0.24345048829767618,0.07923052222082992,1,48
in_state_answer_rate,operational_start,2022-04-01,2023-03-01,11,post,0.25603901434039567,0.33098988232758014,0.07495086798718445,1,48
in_state_answer_rate,operational_start,2022-04-01,2023-04-01,12,post,0.31149159779819113,0.39096757962315637,0.07947598182496525,1,47
in_state_answer_rate,operational_start,2022-04-01,2023-05-01,13,post,0.31960320314200985,0.4097007036213482,0.09009750047933837,1,47
in_state_answer_rate,operational_start,2022-04-01,2023-06-01,14,post,0.30392489447019366,0.39505796065184123,0.09113306618164757,1,47
in_state_answer_rate,operational_start,2022-04-01,2023-07-01,15,post,0.3948648450297684,0.48489546814525303,0.09003062311548468,1,47
in_state_answer_rate,operational_start,2022-04-01,2023-08-01,16,post,0.3815332251259602,0.4673493688973565,0.08581614377139632,1,47
in_state_answer_rate,operational_start,2022-04-01,2023-09-01,17,post,0.39543357740328133,0.4850238371455095,0.08959025974222816,1,46
in_state_answer_rate,operational_start,2022-04-01,2023-10-01,18,post,0.38731974196344243,0.48113706862398525,0.09381732666054281,1,46
in_state_answer_rate,operational_start,2022-04-01,2023-11-01,19,post,0.38456165509068796,0.475965324246544,0.09140366915585604,1,46
in_state_answer_rate,operational_start,2022-04-01,2023-12-01,20,post,0.363707861622689,0.4501929578704685,0.08648509624777947,1,46
in_state_answer_rate,operational_start,2022-04-01,2024-01-01,21,post,0.3574679218016725,0.4467525743290653,0.08928465252739282,1,46
in_state_answer_rate,operational_start,2022-04-01,2024-02-01,22,post,0.3395220531441704,0.43206064604836364,0.09253859290419322,1,46
in_state_answer_rate,operational_start,2022-04-01,2024-03-01,23,post,0.2911801972613509,0.3910604517992326,0.09988025453788169,1,46
in_state_answer_rate,operational_start,2022-04-01,2024-04-01,24,post,0.2580043040946116,0.3655962458594038,0.1075919417647922,1,43
in_state_answer_rate,operational_start,2022-04-01,2024-05-01,25,post,0.24715594844925481,0.3503372033365139,0.10318125488725909,1,43
in_state_answer_rate,operational_start,2022-04-01,2024-06-01,26,post,0.297181201459936,0.38645977214714305,0.08927857068720704,1,43
in_state_answer_rate,operational_start,2022-04-01,2024-07-01,27,post,0.20414325486821588,0.291460465060346,0.08731721019213014,1,43
in_state_answer_rate,operational_start,2022-04-01,2024-08-01,28,post,-0.0687807475581277,0.03359015698671164,0.10237090454483934,1,43
in_state_answer_rate,operational_start,2022-04-01,2024-09-01,29,post,0.21745879719233205,0.34731555156097177,0.12985675436863972,1,43
in_state_answer_rate,operational_start,2022-04-01,2024-10-01,30,post,0.23456400496962437,0.35558357843461424,0.12101957346498987,1,43
in_state_answer_rate,operational_start,2023-04-01,2022-04-01,-12,pre,0.06225893364113409,-0.017588008423822354,-0.07984694206495645,1,48
in_state_answer_rate,operational_start,2023-04-01,2022-05-01,-11,pre,0.05982621388848591,-0.015612246476666813,-0.07543846036515273,1,48
in_state_answer_rate,operational_start,2023-04-01,2022-06-01,-10,pre,0.03452980895432798,-0.027778753484627106,-0.062308562438955085,1,48
in_state_answer_rate,operational_start,2023-04-01,2022-07-01,-9,pre,-0.009640862879115725,-0.04244499120485734,-0.032804128325741616,1,48
in_state_answer_rate,operational_start,2023-04-01,2022-08-01,-8,pre,-0.014823257000903207,-0.03059629290417365,-0.015773035903270442,1,48
in_state_answer_rate,operational_start,2023-04-01,2022-09-01,-7,pre,-0.006236499728918002,-0.03061949241504658,-0.024382992686128577,1,48
in_state_answer_rate,operational_start,2023-04-01,2022-10-01,-6,pre,0.025025439120978755,0.0028086713905458582,-0.022216767730432897,1,48
in_state_answer_rate,operational_start,2023-04-01,2022-11-01,-5,pre,0.005904629951615799,0.007107151442912962,0.0012025214912971631,1,48
in_state_answer_rate,operational_start,2023-04-01,2022-12-01,-4,pre,0.008377029394813596,0.00394989564315007,-0.0044271337516635255,1,48
in_state_answer_rate,operational_start,2023-04-01,2023-01-01,-3,pre,0.007170375642050125,0.0009308513320174239,-0.0062395243100327015,1,48
in_state_answer_rate,operational_start,2023-04-01,2023-02-01,-2,pre,-0.007494256555621699,-0.0032146023219762343,0.004279654233645465,1,48
in_state_answer_rate,operational_start,2023-04-01,2023-04-01,0,post,0.02312757077407069,0.02646895735817012,0.0033413865840994303,1,47
in_state_answer_rate,operational_start,2023-04-01,2023-05-01,1,post,0.01824530233023467,0.03220820756870724,0.013962905238472564,1,47
in_state_answer_rate,operational_start,2023-04-01,2023-06-01,2,post,0.014777595287479565,0.029776066228261344,0.014998470940781779,1,47
in_state_answer_rate,operational_start,2023-04-01,2023-07-01,3,post,0.00895449964989724,0.022850527524516107,0.013896027874618867,1,47
in_state_answer_rate,operational_start,2023-04-01,2023-08-01,4,post,0.005507058097306318,0.015188606627836831,0.009681548530530514,1,47
in_state_answer_rate,operational_start,2023-04-01,2023-09-01,5,post,-0.0012515219282207002,0.009139660775772662,0.010391182703993362,1,46
in_state_answer_rate,operational_start,2023-04-01,2023-10-01,6,post,-0.017817932791676053,-0.0031996831693680283,0.014618249622308023,1,46
in_state_answer_rate,operational_start,2023-04-01,2023-11-01,7,post,-0.026497835097023404,-0.014293242979402154,0.01220459211762125,1,46
in_state_answer_rate,operational_start,2023-04-01,2023-12-01,8,post,-0.04450933931721508,-0.03722332010767038,0.007286019209544707,1,46
in_state_answer_rate,operational_start,2023-04-01,2024-01-01,9,post,-0.017281457546244577,-0.0071958820570865445,0.010085575489158031,1,46
in_state_answer_rate,operational_start,2023-04-01,2024-02-01,10,post,-0.0063282956370033765,0.007011220228955062,0.013339515865958438,1,46
in_state_answer_rate,operational_start,2023-04-01,2024-03-01,11,post,-0.018709906158793584,0.0019712713408532867,0.02068117749964687,1,46
in_state_answer_rate,operational_start,2023-04-01,2024-04-01,12,post,-0.04893479051195934,-0.024235774706477087,0.02469901580548226,1,43
in_state_answer_rate,operational_start,2023-04-01,2024-05-01,13,post,-0.05850074560238146,-0.038212416674432315,0.02028832892794914,1,43
in_state_answer_rate,operational_start,2023-04-01,2024-06-01,14,post,-0.06257724115071822,-0.05619159642282112,0.006385644727897106,1,43
in_state_answer_rate,operational_start,2023-04-01,2024-07-01,15,post,-0.08960655075097339,-0.0851822665181532,0.004424284232820197,1,43
in_state_answer_rate,operational_start,2023-04-01,2024-08-01,16,post,-0.1074783107669734,-0.08800033218144399,0.019477978585529403,1,43
in_state_answer_rate,operational_start,2023-04-01,2024-09-01,17,post,-0.10180171956150195,-0.05483789115217219,0.046963828409329764,1,43
in_state_answer_rate,operational_start,2023-04-01,2024-10-01,18,post,-0.07595011980597574,-0.03782347230029581,0.038126647505679935,1,43
in_state_answer_rate,operational_start,2023-04-01,2024-11-01,19,post,-0.06588748554604704,-0.03401826834169863,0.0318692172043484,1,43
in_state_answer_rate,operational_start,2023-04-01,2024-12-01,20,post,-0.06482850532832399,-0.02377280711753904,0.041055698210784954,1,43
in_state_answer_rate,operational_start,2023-04-01,2025-01-01,21,post,-0.04974369009686491,-0.012618394438082325,0.03712529565878259,1,42
in_state_answer_rate,operational_start,2023-04-01,2025-03-01,23,post,-0.07721935862393389,-0.03866020915203383,0.038559149471900055,1,42
in_state_answer_rate,operational_start,2023-04-01,2025-04-01,24,post,-0.07194812910209859,-0.03049373316233739,0.041454395939761204,1,42
in_state_answer_rate,operational_start,2023-04-01,2025-05-01,25,post,-0.04515173346767246,-0.010334834347767607,0.034816899119904855,1,42
in_state_answer_rate,operational_start,2023-04-01,2025-06-01,26,post,-0.03045051286774257,0.004736600012610781,0.03518711288035335,1,42
in_state_answer_rate,operational_start,2023-04-01,2025-07-01,27,post,-0.006771741924097907,0.01561391986899574,0.022385661793093647,1,40
in_state_answer_rate,operational_start,2023-04-01,2025-08-01,28,post,-0.00959018276590775,0.008220913676903585,0.017811096442811335,1,40
in_state_answer_rate,operational_start,2023-04-01,2025-09-01,29,post,-0.007705806733792356,0.010311088055986906,0.01801689478977926,1,40
in_state_answer_rate,operational_start,2023-04-01,2025-10-01,30,post,-0.021369723473480838,0.007483459612092513,0.02885318308557335,1,39
in_state_answer_rate,operational_start,2023-09-01,2022-09-01,-12,pre,0.0796441054766577,0.0454648338829714,-0.034179271593686306,1,48
in_state_answer_rate,operational_start,2023-09-01,2022-10-01,-11,pre,0.06022822684987548,0.02821518021188485,-0.03201304663799063,1,48
in_state_answer_rate,operational_start,2023-09-01,2022-11-01,-10,pre,0.06705366843823102,0.058459911021970457,-0.008593757416260566,1,48
in_state_answer_rate,operational_start,2023-09-01,2022-12-01,-9,pre,-0.0007822235605466615,-0.015005636219767915,-0.014223412659221253,1,48
in_state_answer_rate,operational_start,2023-09-01,2023-01-01,-8,pre,0.06211413403307717,0.046078330815486734,-0.01603580321759043,1,48
in_state_answer_rate,operational_start,2023-09-01,2023-02-01,-7,pre,0.09499961884885724,0.08948299417494499,-0.005516624673912264,1,48
in_state_answer_rate,operational_start,2023-09-01,2023-03-01,-6,pre,0.04296810392131166,0.03317182501375393,-0.009796278907557729,1,48
in_state_answer_rate,operational_start,2023-09-01,2023-04-01,-5,pre,0.05946107792582381,0.053120915979392724,-0.006340161946431084,1,47
in_state_answer_rate,operational_start,2023-09-01,2023-05-01,-4,pre,0.039438546647345474,0.043719903355287526,0.00428135670794205,1,47
in_state_answer_rate,operational_start,2023-09-01,2023-06-01,-3,pre,0.005151822334126269,0.010468744744377534,0.005316922410251265,1,47
in_state_answer_rate,operational_start,2023-09-01,2023-07-01,-2,pre,-0.003403306275857933,0.0008111730682304197,0.004214479344088353,1,47
in_state_answer_rate,operational_start,2023-09-01,2023-09-01,0,post,0.012711334663858851,0.012489373760272038,-0.0002219609035868134,1,46
in_state_answer_rate,operational_start,2023-09-01,2023-10-01,1,post,0.05561630237757883,0.059621408392306674,0.004005106014727847,1,46
in_state_answer_rate,operational_start,2023-09-01,2023-11-01,2,post,0.07613407420572597,0.07772552271576705,0.0015914485100410748,1,46
in_state_answer_rate,operational_start,2023-09-01,2023-12-01,3,post,0.07122818474529287,0.0679010603472574,-0.0033271243980354695,1,46
in_state_answer_rate,operational_start,2023-09-01,2024-01-01,4,post,0.03251979558851693,0.03199222747009478,-0.0005275681184221428,1,46
in_state_answer_rate,operational_start,2023-09-01,2024-02-01,5,post,-0.07233053271028458,-0.06960416045190632,0.002726372258378263,1,46
